job_number,canonical_stage,declared_stage,rendered_column,ses_family,expected_family_label,rendered_family_tag,family_agrees,detail_stage,detail_stage_source,detail_contradicts_column,legacy_detail_stage,legacy_contradicts_column,canonical_pack_drafted,no_pack_chip,card_builder_links,card_anchors,trade_chip
SWMS-26823,new,new,new,temporary_fencing,Temporary Fence MakeSafe,Temporary Fence MakeSafe,true,new,board_feed,false,new,false,false,false,0,0,New
SWMS-26821,new,new,new,temporary_fencing,Temporary Fence MakeSafe,Temporary Fence MakeSafe,true,new,board_feed,false,new,false,false,false,0,0,New
SWMS-26816,new,new,new,temporary_fencing,Temporary Fence MakeSafe,Temporary Fence MakeSafe,true,new,board_feed,false,new,false,false,false,0,0,New
SWMS-26807,new,new,new,temporary_fencing,Temporary Fence MakeSafe,Temporary Fence MakeSafe,true,new,board_feed,false,new,false,false,false,0,0,New
SWMS-26804,new,new,new,physical_makesafe,MakeSafe,MakeSafe,true,new,board_feed,false,new,false,false,false,0,0,New
SWMS-26778,new,new,new,temporary_fencing,Temporary Fence MakeSafe,Temporary Fence MakeSafe,true,new,board_feed,false,new,false,false,false,0,0,New
SWMS-26776,new,new,new,temporary_fencing,Temporary Fence MakeSafe,Temporary Fence MakeSafe,true,new,board_feed,false,new,false,false,false,0,0,New
SWMS-26934,allocated,new,allocated,ordinary_roof_portal,Roof Report,Roof Report,true,allocated,board_feed,false,new,true,false,false,1,1,Allocated
SWMS-26810,allocated,new,allocated,ordinary_roof_portal,Roof Report,Roof Report,true,allocated,board_feed,false,new,true,false,false,1,1,Allocated
SWMS-261050,allocated,allocated,allocated,physical_makesafe,MakeSafe,MakeSafe,true,allocated,board_feed,false,new,true,false,false,0,0,Allocated
SWMS-261049,allocated,allocated,allocated,ordinary_roof_portal,Roof Report,Roof Report,true,allocated,board_feed,false,allocated,false,false,false,0,0,Allocated
SWMS-261026,allocated,allocated,allocated,physical_makesafe,MakeSafe,MakeSafe,true,allocated,board_feed,false,new,true,false,false,0,0,Allocated
SWMS-261022,allocated,allocated,allocated,ordinary_roof_portal,Roof Report,Roof Report,true,allocated,board_feed,false,new,true,false,false,0,0,Allocated
SWMS-261019,allocated,allocated,allocated,ordinary_roof_portal,Roof Report,Roof Report,true,allocated,board_feed,false,new,true,false,false,1,1,Allocated
SWMS-261018,allocated,allocated,allocated,ordinary_roof_portal,Roof Report,Roof Report,true,allocated,board_feed,false,new,true,false,false,0,0,Allocated
SWMS-261014,allocated,allocated,allocated,temporary_fencing,Temporary Fence MakeSafe,Temporary Fence MakeSafe,true,allocated,board_feed,false,new,true,false,false,0,0,Allocated
SWMS-26981,allocated,allocated,allocated,physical_makesafe,MakeSafe,MakeSafe,true,allocated,board_feed,false,allocated,false,false,false,1,1,Allocated
SWMS-26978,allocated,allocated,allocated,physical_makesafe,MakeSafe,MakeSafe,true,allocated,board_feed,false,allocated,false,false,false,0,0,Allocated
SWMS-26965,allocated,allocated,allocated,assessment_quote,Assessment / Quote Report,Assessment / Quote Report,true,allocated,board_feed,false,allocated,false,false,false,0,0,Allocated
SWMS-26953,allocated,allocated,allocated,physical_makesafe,MakeSafe,MakeSafe,true,allocated,board_feed,false,allocated,false,true,false,1,1,Allocated
SWMS-26930,allocated,allocated,allocated,ordinary_roof_portal,Roof Report,Roof Report,true,allocated,board_feed,false,allocated,false,false,false,0,0,Allocated
SWMS-26926,allocated,allocated,allocated,physical_makesafe,MakeSafe,MakeSafe,true,allocated,board_feed,false,allocated,false,false,false,0,0,Allocated
SWMS-26910,allocated,allocated,allocated,physical_makesafe,MakeSafe,MakeSafe,true,allocated,board_feed,false,allocated,false,false,false,0,0,Allocated
SWMS-26902,allocated,allocated,allocated,physical_makesafe,MakeSafe,MakeSafe,true,allocated,board_feed,false,allocated,false,true,false,1,1,Allocated
SWMS-26883,allocated,allocated,allocated,physical_makesafe,MakeSafe,MakeSafe,true,allocated,board_feed,false,allocated,false,false,false,0,0,Allocated
SWMS-26849,allocated,allocated,allocated,ordinary_roof_portal,Roof Report,Roof Report,true,allocated,board_feed,false,allocated,false,false,false,1,1,Allocated
SWMS-26790,allocated,allocated,allocated,physical_makesafe,MakeSafe,MakeSafe,true,allocated,board_feed,false,allocated,false,false,false,0,0,Allocated
SWMS-26729,allocated,allocated,allocated,ordinary_roof_portal,Roof Report,Roof Report,true,allocated,board_feed,false,allocated,false,false,false,2,2,Allocated
SWMS-26719,allocated,allocated,allocated,ordinary_roof_portal,Roof Report,Roof Report,true,allocated,board_feed,false,allocated,false,false,false,1,1,Allocated
SWMS-26715,allocated,allocated,allocated,ordinary_roof_portal,Roof Report,Roof Report,true,allocated,board_feed,false,allocated,false,false,false,1,1,Allocated
SWMS-26707,allocated,allocated,allocated,temporary_fencing,Temporary Fence MakeSafe,Temporary Fence MakeSafe,true,allocated,board_feed,false,allocated,false,false,false,0,0,Allocated
SWMS-26658,allocated,allocated,allocated,ordinary_roof_portal,Roof Report,Roof Report,true,allocated,board_feed,false,allocated,false,false,false,0,0,Allocated
SWMS-26632,allocated,allocated,allocated,ordinary_roof_portal,Roof Report,Roof Report,true,allocated,board_feed,false,allocated,false,false,false,1,1,Allocated
SWMS-26619,allocated,allocated,allocated,physical_makesafe,MakeSafe,MakeSafe,true,allocated,board_feed,false,allocated,false,false,false,0,0,Allocated
SWMS-26618,allocated,allocated,allocated,ordinary_roof_portal,Roof Report,Roof Report,true,allocated,board_feed,false,allocated,false,false,false,1,1,Allocated
SWMS-26583,allocated,allocated,allocated,physical_makesafe,MakeSafe,MakeSafe,true,allocated,board_feed,false,allocated,false,false,false,0,0,Allocated
SWMS-26633,allocated,report_ready,allocated,temporary_fencing,Temporary Fence MakeSafe,Temporary Fence MakeSafe,true,allocated,board_feed,false,report_ready,true,false,false,0,0,Allocated
SWMS-261109,trade_report_in,trade_report_in,trade_report_in,physical_makesafe,MakeSafe,MakeSafe,true,trade_report_in,board_feed,false,report_ready,true,false,false,0,0,Trade Report In
SWMS-261080,trade_report_in,trade_report_in,trade_report_in,physical_makesafe,MakeSafe,MakeSafe,true,trade_report_in,board_feed,false,report_ready,true,false,false,3,3,Trade Report In
SWMS-261065,trade_report_in,trade_report_in,trade_report_in,physical_makesafe,MakeSafe,MakeSafe,true,trade_report_in,board_feed,false,report_ready,true,false,false,3,3,Trade Report In
SWMS-261029,trade_report_in,trade_report_in,trade_report_in,physical_makesafe,MakeSafe,MakeSafe,true,trade_report_in,board_feed,false,report_ready,true,false,false,0,0,Trade Report In
SWMS-261025,trade_report_in,trade_report_in,trade_report_in,physical_makesafe,MakeSafe,MakeSafe,true,trade_report_in,board_feed,false,report_ready,true,true,false,0,0,Trade Report In
SWMS-261024,trade_report_in,trade_report_in,trade_report_in,physical_makesafe,MakeSafe,MakeSafe,true,trade_report_in,board_feed,false,report_ready,true,true,false,1,1,Trade Report In
SWMS-261021,trade_report_in,trade_report_in,trade_report_in,physical_makesafe,MakeSafe,MakeSafe,true,trade_report_in,board_feed,false,report_ready,true,true,false,0,0,Trade Report In
SWMS-261020,trade_report_in,trade_report_in,trade_report_in,physical_makesafe,MakeSafe,MakeSafe,true,trade_report_in,board_feed,false,report_ready,true,true,false,0,0,Trade Report In
SWMS-261017,trade_report_in,trade_report_in,trade_report_in,physical_makesafe,MakeSafe,MakeSafe,true,trade_report_in,board_feed,false,report_ready,true,true,false,0,0,Trade Report In
SWMS-261015,trade_report_in,trade_report_in,trade_report_in,physical_makesafe,MakeSafe,MakeSafe,true,trade_report_in,board_feed,false,report_ready,true,true,false,0,0,Trade Report In
SWMS-26980,trade_report_in,trade_report_in,trade_report_in,ordinary_roof_portal,Roof Report,Roof Report,true,trade_report_in,board_feed,false,report_ready,true,false,false,1,1,Trade Report In
SWMS-26957,trade_report_in,trade_report_in,trade_report_in,ordinary_roof_portal,Roof Report,Roof Report,true,trade_report_in,board_feed,false,report_ready,true,false,false,1,1,Trade Report In
SWMS-261123,report_ready,report_ready,report_ready,ordinary_roof_portal,Roof Report,Roof Report,true,report_ready,board_feed,false,report_ready,false,false,true,3,3,Docs Ready
SWMS-261116,report_ready,report_ready,report_ready,ordinary_roof_portal,Roof Report,Roof Report,true,report_ready,board_feed,false,report_ready,false,false,true,3,3,Docs Ready
SWMS-261114,report_ready,report_ready,report_ready,ordinary_roof_portal,Roof Report,Roof Report,true,report_ready,board_feed,false,report_ready,false,false,true,3,3,Docs Ready
SWMS-261113,report_ready,report_ready,report_ready,ordinary_roof_portal,Roof Report,Roof Report,true,report_ready,board_feed,false,report_ready,false,false,true,3,3,Docs Ready
SWMS-261081,report_ready,report_ready,report_ready,ordinary_roof_portal,Roof Report,Roof Report,true,report_ready,board_feed,false,report_ready,false,false,true,3,3,Docs Ready
SWMS-261079,report_ready,report_ready,report_ready,ordinary_roof_portal,Roof Report,Roof Report,true,report_ready,board_feed,false,report_ready,false,false,true,3,3,Docs Ready
SWMS-261059,report_ready,report_ready,report_ready,physical_makesafe,MakeSafe,MakeSafe,true,report_ready,board_feed,false,report_ready,false,false,true,0,0,Docs Ready
SWMS-26857,report_ready,report_ready,report_ready,assessment_quote,Assessment / Quote Report,Assessment / Quote Report,true,report_ready,board_feed,false,report_ready,false,false,true,1,1,Docs Ready
SWMS-26853,report_ready,report_ready,report_ready,assessment_quote,Assessment / Quote Report,Assessment / Quote Report,true,report_ready,board_feed,false,report_ready,false,false,true,3,3,Docs Ready
SWMS-26852,report_ready,report_ready,report_ready,assessment_quote,Assessment / Quote Report,Assessment / Quote Report,true,report_ready,board_feed,false,report_ready,false,false,true,3,3,Docs Ready
SWMS-26851,report_ready,report_ready,report_ready,assessment_quote,Assessment / Quote Report,Assessment / Quote Report,true,report_ready,board_feed,false,report_ready,false,false,true,3,3,Docs Ready
SWMS-26848,report_ready,report_ready,report_ready,ordinary_roof_portal,Roof Report,Roof Report,true,report_ready,board_feed,false,report_ready,false,false,true,1,1,Docs Ready
SWMS-26832,report_ready,report_ready,report_ready,physical_makesafe,MakeSafe,MakeSafe,true,report_ready,board_feed,false,completed,true,true,false,0,0,Docs Ready
SWMS-26803,report_ready,report_ready,report_ready,ordinary_roof_portal,Roof Report,Roof Report,true,report_ready,board_feed,false,report_ready,false,false,true,1,1,Docs Ready
SWMS-26759,report_ready,report_ready,report_ready,ordinary_roof_portal,Roof Report,Roof Report,true,report_ready,board_feed,false,report_ready,false,false,true,3,3,Docs Ready
SWMS-26754,report_ready,report_ready,report_ready,ordinary_roof_portal,Roof Report,Roof Report,true,report_ready,board_feed,false,report_ready,false,false,true,1,1,Docs Ready
SWMS-26748,report_ready,report_ready,report_ready,assessment_quote,Assessment / Quote Report,Assessment / Quote Report,true,report_ready,board_feed,false,report_ready,false,false,true,3,3,Docs Ready
SWMS-26740,report_ready,report_ready,report_ready,assessment_quote,Assessment / Quote Report,Assessment / Quote Report,true,report_ready,board_feed,false,report_ready,false,false,true,3,3,Docs Ready
SWMS-26736,report_ready,report_ready,report_ready,ordinary_roof_portal,Roof Report,Roof Report,true,report_ready,board_feed,false,report_ready,false,false,true,3,3,Docs Ready
SWMS-26735,report_ready,report_ready,report_ready,ordinary_roof_portal,Roof Report,Roof Report,true,report_ready,board_feed,false,report_ready,false,false,true,3,3,Docs Ready
SWMS-26732,report_ready,report_ready,report_ready,assessment_quote,Assessment / Quote Report,Assessment / Quote Report,true,report_ready,board_feed,false,report_ready,false,false,true,3,3,Docs Ready
SWMS-26728,report_ready,report_ready,report_ready,assessment_quote,Assessment / Quote Report,Assessment / Quote Report,true,report_ready,board_feed,false,report_ready,false,false,true,3,3,Docs Ready
SWMS-26709,report_ready,report_ready,report_ready,ordinary_roof_portal,Roof Report,Roof Report,true,report_ready,board_feed,false,report_ready,false,false,true,1,1,Docs Ready
SWMS-26585,report_ready,report_ready,report_ready,temporary_fencing,Temporary Fence MakeSafe,Temporary Fence MakeSafe,true,report_ready,board_feed,false,report_ready,false,false,true,0,0,Docs Ready
SWMS-261055,completed,completed,completed,physical_makesafe,MakeSafe,MakeSafe,true,completed,board_feed,false,completed,false,true,false,0,0,
SWMS-261028,completed,completed,completed,physical_makesafe,MakeSafe,MakeSafe,true,completed,board_feed,false,completed,false,true,false,0,0,
SWMS-261118,archive,new,archive,physical_makesafe,MakeSafe,MakeSafe,true,archive,board_feed,false,new,true,false,false,0,0,
SWMS-261099,archive,new,archive,temporary_fencing,Temporary Fence MakeSafe,Temporary Fence MakeSafe,true,archive,board_feed,false,new,true,false,false,0,0,
SWMS-261097,archive,new,archive,temporary_fencing,Temporary Fence MakeSafe,Temporary Fence MakeSafe,true,archive,board_feed,false,new,true,false,false,0,0,
SWMS-261095,archive,new,archive,temporary_fencing,Temporary Fence MakeSafe,Temporary Fence MakeSafe,true,archive,board_feed,false,new,true,false,false,0,0,
SWMS-261094,archive,new,archive,physical_makesafe,MakeSafe,MakeSafe,true,archive,board_feed,false,new,true,false,false,0,0,
SWMS-261093,archive,new,archive,temporary_fencing,Temporary Fence MakeSafe,Temporary Fence MakeSafe,true,archive,board_feed,false,new,true,false,false,0,0,
SWMS-261092,archive,new,archive,temporary_fencing,Temporary Fence MakeSafe,Temporary Fence MakeSafe,true,archive,board_feed,false,new,true,false,false,0,0,
SWMS-261091,archive,new,archive,physical_makesafe,MakeSafe,MakeSafe,true,archive,board_feed,false,new,true,false,false,0,0,
SWMS-261089,archive,new,archive,physical_makesafe,MakeSafe,MakeSafe,true,archive,board_feed,false,new,true,false,false,0,0,
SWMS-261088,archive,new,archive,temporary_fencing,Temporary Fence MakeSafe,Temporary Fence MakeSafe,true,archive,board_feed,false,new,true,false,false,0,0,
SWMS-261087,archive,new,archive,temporary_fencing,Temporary Fence MakeSafe,Temporary Fence MakeSafe,true,archive,board_feed,false,new,true,false,false,0,0,
SWMS-261086,archive,new,archive,physical_makesafe,MakeSafe,MakeSafe,true,archive,board_feed,false,new,true,false,false,0,0,
SWMS-261084,archive,new,archive,physical_makesafe,MakeSafe,MakeSafe,true,archive,board_feed,false,new,true,false,false,0,0,
SWMS-261078,archive,new,archive,physical_makesafe,MakeSafe,MakeSafe,true,archive,board_feed,false,new,true,false,false,3,3,
SWMS-261077,archive,new,archive,temporary_fencing,Temporary Fence MakeSafe,Temporary Fence MakeSafe,true,archive,board_feed,false,new,true,false,false,0,0,
SWMS-261076,archive,new,archive,temporary_fencing,Temporary Fence MakeSafe,Temporary Fence MakeSafe,true,archive,board_feed,false,new,true,false,false,0,0,
SWMS-261075,archive,new,archive,temporary_fencing,Temporary Fence MakeSafe,Temporary Fence MakeSafe,true,archive,board_feed,false,new,true,false,false,0,0,
SWMS-261074,archive,new,archive,physical_makesafe,MakeSafe,MakeSafe,true,archive,board_feed,false,new,true,false,false,0,0,
SWMS-261068,archive,new,archive,temporary_fencing,Temporary Fence MakeSafe,Temporary Fence MakeSafe,true,archive,board_feed,false,new,true,false,false,0,0,
SWMS-261067,archive,new,archive,physical_makesafe,MakeSafe,MakeSafe,true,archive,board_feed,false,new,true,false,false,0,0,
SWMS-261064,archive,new,archive,physical_makesafe,MakeSafe,MakeSafe,true,archive,board_feed,false,new,true,false,false,0,0,
SWMS-261051,archive,new,archive,physical_makesafe,MakeSafe,MakeSafe,true,archive,board_feed,false,new,true,false,false,2,2,
SWMS-26925,archive,new,archive,physical_makesafe,MakeSafe,MakeSafe,true,archive,board_feed,false,new,true,false,false,0,0,
SWMS-26918,archive,new,archive,temporary_fencing,Temporary Fence MakeSafe,Temporary Fence MakeSafe,true,archive,board_feed,false,new,true,false,false,0,0,
SWMS-26822,archive,new,archive,physical_makesafe,MakeSafe,MakeSafe,true,archive,board_feed,false,new,true,false,false,0,0,
SWMS-26820,archive,new,archive,temporary_fencing,Temporary Fence MakeSafe,Temporary Fence MakeSafe,true,archive,board_feed,false,new,true,false,false,0,0,
SWMS-26998,archive,allocated,archive,ordinary_roof_portal,Roof Report,Roof Report,true,archive,board_feed,false,new,true,false,false,3,3,
SWMS-26952,archive,allocated,archive,physical_makesafe,MakeSafe,MakeSafe,true,archive,board_feed,false,new,true,false,false,0,0,
SWMS-26928,archive,allocated,archive,ordinary_roof_portal,Roof Report,Roof Report,true,archive,board_feed,false,allocated,true,false,false,1,1,
SWMS-26920,archive,allocated,archive,physical_makesafe,MakeSafe,MakeSafe,true,archive,board_feed,false,allocated,true,false,false,0,0,
SWMS-26784,archive,allocated,archive,temporary_fencing,Temporary Fence MakeSafe,Temporary Fence MakeSafe,true,archive,board_feed,false,allocated,true,false,false,0,0,
SWMS-26713,archive,allocated,archive,ordinary_roof_portal,Roof Report,Roof Report,true,archive,board_feed,false,allocated,true,false,false,2,2,
SWMS-26660,archive,allocated,archive,ordinary_roof_portal,Roof Report,Roof Report,true,archive,board_feed,false,allocated,true,false,false,1,1,
SWMS-26651,archive,allocated,archive,physical_makesafe,MakeSafe,MakeSafe,true,archive,board_feed,false,allocated,true,true,false,0,0,
SWMS-261124,archive,report_ready,archive,physical_makesafe,MakeSafe,MakeSafe,true,archive,board_feed,false,report_ready,true,false,false,0,0,
SWMS-26855,archive,report_ready,archive,assessment_quote,Assessment / Quote Report,Assessment / Quote Report,true,archive,board_feed,false,report_ready,true,false,false,1,1,
SWMS-26845,archive,report_ready,archive,physical_makesafe,MakeSafe,MakeSafe,true,archive,board_feed,false,report_ready,true,true,false,0,0,
SWMS-26791,archive,report_ready,archive,assessment_quote,Assessment / Quote Report,Assessment / Quote Report,true,archive,board_feed,false,completed,true,false,false,3,3,
SWMS-26782,archive,report_ready,archive,physical_makesafe,MakeSafe,MakeSafe,true,archive,board_feed,false,report_ready,true,false,false,0,0,
SWMS-261039,archive,archive,archive,physical_makesafe,MakeSafe,MakeSafe,true,archive,board_feed,false,completed,true,true,false,0,0,
SWMS-261038,archive,archive,archive,physical_makesafe,MakeSafe,MakeSafe,true,archive,board_feed,false,completed,true,true,false,0,0,
SWMS-261037,archive,archive,archive,physical_makesafe,MakeSafe,MakeSafe,true,archive,board_feed,false,completed,true,true,false,0,0,
SWMS-261036,archive,archive,archive,physical_makesafe,MakeSafe,MakeSafe,true,archive,board_feed,false,completed,true,true,false,0,0,
SWMS-261035,archive,archive,archive,physical_makesafe,MakeSafe,MakeSafe,true,archive,board_feed,false,completed,true,true,false,0,0,
SWMS-261034,archive,archive,archive,physical_makesafe,MakeSafe,MakeSafe,true,archive,board_feed,false,completed,true,true,false,0,0,
SWMS-26964,archive,archive,archive,ordinary_roof_portal,Roof Report,Roof Report,true,archive,board_feed,false,completed,true,true,false,1,1,
SWMS-26956,archive,archive,archive,physical_makesafe,MakeSafe,MakeSafe,true,archive,board_feed,false,completed,true,true,false,0,0,
SWMS-26955,archive,archive,archive,physical_makesafe,MakeSafe,MakeSafe,true,archive,board_feed,false,report_ready,true,true,false,0,0,
SWMS-26949,archive,archive,archive,physical_makesafe,MakeSafe,MakeSafe,true,archive,board_feed,false,completed,true,true,false,0,0,
SWMS-26948,archive,archive,archive,physical_makesafe,MakeSafe,MakeSafe,true,archive,board_feed,false,completed,true,true,false,0,0,
SWMS-26946,archive,archive,archive,physical_makesafe,MakeSafe,MakeSafe,true,archive,board_feed,false,completed,true,true,false,1,1,
SWMS-26944,archive,archive,archive,physical_makesafe,MakeSafe,MakeSafe,true,archive,board_feed,false,completed,true,true,false,0,0,
SWMS-26940,archive,archive,archive,physical_makesafe,MakeSafe,MakeSafe,true,archive,board_feed,false,report_ready,true,true,false,0,0,
SWMS-26939,archive,archive,archive,temporary_fencing,Temporary Fence MakeSafe,Temporary Fence MakeSafe,true,archive,board_feed,false,completed,true,true,false,0,0,
SWMS-26938,archive,archive,archive,physical_makesafe,MakeSafe,MakeSafe,true,archive,board_feed,false,report_ready,true,true,false,0,0,
SWMS-26937,archive,archive,archive,physical_makesafe,MakeSafe,MakeSafe,true,archive,board_feed,false,completed,true,true,false,0,0,
SWMS-26933,archive,archive,archive,ordinary_roof_portal,Roof Report,Roof Report,true,archive,board_feed,false,completed,true,true,false,2,2,
SWMS-26929,archive,archive,archive,ordinary_roof_portal,Roof Report,Roof Report,true,archive,board_feed,false,new,true,false,false,0,0,
SWMS-26927,archive,archive,archive,physical_makesafe,MakeSafe,MakeSafe,true,archive,board_feed,false,report_ready,true,true,false,0,0,
SWMS-26919,archive,archive,archive,physical_makesafe,MakeSafe,MakeSafe,true,archive,board_feed,false,completed,true,true,false,0,0,
SWMS-26917,archive,archive,archive,physical_makesafe,MakeSafe,MakeSafe,true,archive,board_feed,false,report_ready,true,true,false,0,0,
SWMS-26903,archive,archive,archive,temporary_fencing,Temporary Fence MakeSafe,Temporary Fence MakeSafe,true,archive,board_feed,false,completed,true,true,false,0,0,
SWMS-26901,archive,archive,archive,physical_makesafe,MakeSafe,MakeSafe,true,archive,board_feed,false,completed,true,true,false,0,0,
SWMS-26900,archive,archive,archive,temporary_fencing,Temporary Fence MakeSafe,Temporary Fence MakeSafe,true,archive,board_feed,false,report_ready,true,true,false,0,0,
SWMS-26898,archive,archive,archive,physical_makesafe,MakeSafe,MakeSafe,true,archive,board_feed,false,completed,true,true,false,0,0,
SWMS-26896,archive,archive,archive,temporary_fencing,Temporary Fence MakeSafe,Temporary Fence MakeSafe,true,archive,board_feed,false,completed,true,true,false,0,0,
SWMS-26894,archive,archive,archive,physical_makesafe,MakeSafe,MakeSafe,true,archive,board_feed,false,completed,true,true,false,0,0,
SWMS-26893,archive,archive,archive,temporary_fencing,Temporary Fence MakeSafe,Temporary Fence MakeSafe,true,archive,board_feed,false,completed,true,true,false,0,0,
SWMS-26891,archive,archive,archive,physical_makesafe,MakeSafe,MakeSafe,true,archive,board_feed,false,completed,true,true,false,0,0,
SWMS-26888,archive,archive,archive,physical_makesafe,MakeSafe,MakeSafe,true,archive,board_feed,false,completed,true,true,false,0,0,
SWMS-26887,archive,archive,archive,physical_makesafe,MakeSafe,MakeSafe,true,archive,board_feed,false,completed,true,true,false,0,0,
SWMS-26885,archive,archive,archive,temporary_fencing,Temporary Fence MakeSafe,Temporary Fence MakeSafe,true,archive,board_feed,false,completed,true,true,false,0,0,
SWMS-26884,archive,archive,archive,physical_makesafe,MakeSafe,MakeSafe,true,archive,board_feed,false,completed,true,true,false,0,0,
SWMS-26882,archive,archive,archive,temporary_fencing,Temporary Fence MakeSafe,Temporary Fence MakeSafe,true,archive,board_feed,false,completed,true,true,false,0,0,
SWMS-26878,archive,archive,archive,temporary_fencing,Temporary Fence MakeSafe,Temporary Fence MakeSafe,true,archive,board_feed,false,completed,true,true,false,0,0,
SWMS-26875,archive,archive,archive,physical_makesafe,MakeSafe,MakeSafe,true,archive,board_feed,false,completed,true,true,false,0,0,
SWMS-26871,archive,archive,archive,physical_makesafe,MakeSafe,MakeSafe,true,archive,board_feed,false,completed,true,true,false,0,0,
SWMS-26867,archive,archive,archive,physical_makesafe,MakeSafe,MakeSafe,true,archive,board_feed,false,completed,true,true,false,0,0,
SWMS-26866,archive,archive,archive,temporary_fencing,Temporary Fence MakeSafe,Temporary Fence MakeSafe,true,archive,board_feed,false,completed,true,true,false,0,0,
SWMS-26865,archive,archive,archive,ordinary_roof_portal,Roof Report,Roof Report,true,archive,board_feed,false,completed,true,true,false,1,1,
SWMS-26864,archive,archive,archive,physical_makesafe,MakeSafe,MakeSafe,true,archive,board_feed,false,completed,true,true,false,0,0,
SWMS-26863,archive,archive,archive,ordinary_roof_portal,Roof Report,Roof Report,true,archive,board_feed,false,report_ready,true,true,false,1,1,
SWMS-26862,archive,archive,archive,temporary_fencing,Temporary Fence MakeSafe,Temporary Fence MakeSafe,true,archive,board_feed,false,completed,true,true,false,0,0,
SWMS-26861,archive,archive,archive,ordinary_roof_portal,Roof Report,Roof Report,true,archive,board_feed,false,completed,true,true,false,1,1,
